"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "XML", "TypeScript JSX", "CSS", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Home\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 6, 128
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\LogIn\LogIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 5, 88
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\LogIn\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 6, 121
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\MyProjects\MyProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\MyProjects\UserProject.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 3, 156
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Projects\CompletedProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\SearchResults\SearchResults.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 48
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\FeedBackType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\GithubProjectRequestReturnType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\ProjectType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\SearchDataType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\UserProjectProps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\UserType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Types\determineSearchDataPropsType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\assets\images\checkIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\assets\images\medal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\assets\images\personWith3Stars.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\assets\images\saveTime.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\highlightSyntax\highlightSyntax.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 9, 82
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1536, 0, 0, 178, 416, 2130
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\tailwind.config.js", "JavaScript", 1063, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 1078
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\tsconfig.app.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\tsconfig.node.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\vite.config.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 1719, 42, 9589, 8, 2, 3465, 1623, 11, 13, 208, 962, 17642
